Moonshine.embedding	axiom-closure	HAdd.hAdd
Moonshine.embedding	axiom-closure	Moonshine.embedding
Moonshine.embedding	axiom-closure	Moonshine.observer
Moonshine.embedding	axiom-closure	Moonshine.trivector-product
Moonshine.embedding	axiom-closure	Nat
Moonshine.embedding	axiom-closure	Nat.zero
Moonshine.embedding	type-direct	Eq
Moonshine.embedding	type-direct	HAdd.hAdd
Moonshine.embedding	type-direct	Moonshine.observer
Moonshine.embedding	type-direct	Moonshine.trivector-product
Moonshine.embedding	type-direct	OfNat.ofNat
Moonshine.embedding	type-direct	instOfNatNat
Moonshine.mckay	axiom-closure	HAdd.hAdd
Moonshine.mckay	axiom-closure	Moonshine.j-coefficient
Moonshine.mckay	axiom-closure	Moonshine.mckay
Moonshine.mckay	axiom-closure	Moonshine.rep-dim
Moonshine.mckay	axiom-closure	Nat
Moonshine.mckay	axiom-closure	Nat.zero
Moonshine.mckay	type-direct	Eq
Moonshine.mckay	type-direct	HAdd.hAdd
Moonshine.mckay	type-direct	Moonshine.j-coefficient
Moonshine.mckay	type-direct	Moonshine.rep-dim
Moonshine.mckay	type-direct	Nat
Moonshine.mckay	type-direct	OfNat.ofNat
Moonshine.mckay	type-direct	instOfNatNat
Moonshine.moonshine	axiom-closure	Moonshine.j-coefficient
Moonshine.moonshine	axiom-closure	Moonshine.moonshine
Moonshine.moonshine	axiom-closure	Nat
Moonshine.moonshine	axiom-closure	Nat.zero
Moonshine.moonshine	type-direct	Eq
Moonshine.moonshine	type-direct	Moonshine.j-coefficient
Moonshine.moonshine	type-direct	Nat
Moonshine.moonshine	type-direct	OfNat.ofNat
Moonshine.moonshine	type-direct	instOfNatNat
Moonshine.observer-is-j-fixed	axiom-closure	Bool
Moonshine.observer-is-j-fixed	axiom-closure	Bool.true
Moonshine.observer-is-j-fixed	axiom-closure	Moonshine.Witness
Moonshine.observer-is-j-fixed	axiom-closure	Moonshine.is-j-fixed
Moonshine.observer-is-j-fixed	axiom-closure	Moonshine.observer-is-j-fixed
Moonshine.observer-is-j-fixed	axiom-closure	Moonshine.the-observer
Moonshine.observer-is-j-fixed	type-direct	Bool
Moonshine.observer-is-j-fixed	type-direct	Bool.true
Moonshine.observer-is-j-fixed	type-direct	Eq
Moonshine.observer-is-j-fixed	type-direct	Moonshine.is-j-fixed
Moonshine.observer-is-j-fixed	type-direct	Moonshine.the-observer
Moonshine.rep-dim-check	axiom-closure	Moonshine.rep-dim
Moonshine.rep-dim-check	axiom-closure	Moonshine.rep-dim-check
Moonshine.rep-dim-check	axiom-closure	Nat
Moonshine.rep-dim-check	axiom-closure	Nat.zero
Moonshine.rep-dim-check	type-direct	Eq
Moonshine.rep-dim-check	type-direct	Moonshine.rep-dim
Moonshine.rep-dim-check	type-direct	Nat
Moonshine.rep-dim-check	type-direct	OfNat.ofNat
Moonshine.rep-dim-check	type-direct	instOfNatNat
